"","Species","lon","lat","Presence"
"353","Araucaria_angustifolia",-49.871814,-27.918339,1
"354","Araucaria_angustifolia",-49.871289,-27.918453,1
"355","Araucaria_angustifolia",-49.869964,-27.9185,1
"356","Araucaria_angustifolia",-49.869514,-27.918817,1
"357","Araucaria_angustifolia",-49.868867,-27.918678,1
"358","Araucaria_angustifolia",-49.868208,-27.918036,1
"359","Araucaria_angustifolia",-49.868175,-27.917456,1
"360","Araucaria_angustifolia",-49.868158,-27.916944,1
"361","Araucaria_angustifolia",-50.398703,-27.270931,1
"362","Araucaria_angustifolia",-50.398689,-27.271522,1
"363","Araucaria_angustifolia",-50.396681,-27.271417,1
"364","Araucaria_angustifolia",-50.396792,-27.271997,1
"365","Araucaria_angustifolia",-50.397392,-27.272581,1
"366","Araucaria_angustifolia",-50.398056,-27.272497,1
"367","Araucaria_angustifolia",-50.398683,-27.272867,1
"368","Araucaria_angustifolia",-50.398669,-27.273406,1
"369","Araucaria_angustifolia",-50.39805,-27.273614,1
"370","Araucaria_angustifolia",-50.397419,-27.2738,1
"371","Araucaria_angustifolia",-50.396528,-27.274003,1
"372","Araucaria_angustifolia",-50.395956,-27.274153,1
"373","Araucaria_angustifolia",-50.395542,-27.274242,1
"374","Araucaria_angustifolia",-50.394881,-27.274411,1
"375","Araucaria_angustifolia",-50.396194,-27.274939,1
"376","Araucaria_angustifolia",-50.395803,-27.275464,1
"377","Araucaria_angustifolia",-50.396839,-27.275494,1
"378","Araucaria_angustifolia",-50.396214,-27.275783,1
"379","Araucaria_angustifolia",-50.396008,-27.276242,1
"380","Araucaria_angustifolia",-50.395522,-27.275975,1
"381","Araucaria_angustifolia",-50.39515,-27.276328,1
"382","Araucaria_angustifolia",-50.394961,-27.277383,1
"383","Araucaria_angustifolia",-50.394556,-27.276356,1
"384","Araucaria_angustifolia",-50.395117,-27.275519,1
"385","Araucaria_angustifolia",-50.394767,-27.275097,1
"386","Araucaria_angustifolia",-50.396744,-27.2728,1
"387","Araucaria_angustifolia",-50.396467,-27.272303,1
"388","Araucaria_angustifolia",-50.396244,-27.271808,1
"389","Araucaria_angustifolia",-50.395711,-27.271953,1
"390","Araucaria_angustifolia",-50.395617,-27.271397,1
"391","Araucaria_angustifolia",-49.79975,-28.345453,1
"392","Araucaria_angustifolia",-49.799458,-28.345806,1
"393","Araucaria_angustifolia",-49.799136,-28.345556,1
"394","Araucaria_angustifolia",-49.799097,-28.345142,1
"395","Araucaria_angustifolia",-49.7985,-28.345333,1
"396","Araucaria_angustifolia",-49.798183,-28.344933,1
"397","Araucaria_angustifolia",-49.798333,-28.344581,1
"398","Araucaria_angustifolia",-49.797864,-28.344622,1
"399","Araucaria_angustifolia",-49.798017,-28.344194,1
"400","Araucaria_angustifolia",-49.797419,-28.344133,1
"401","Araucaria_angustifolia",-49.796947,-28.343814,1
"402","Araucaria_angustifolia",-49.796686,-28.343525,1
"403","Araucaria_angustifolia",-49.796486,-28.342903,1
"404","Araucaria_angustifolia",-49.796144,-28.342281,1
"405","Araucaria_angustifolia",-49.796833,-28.342125,1
"406","Araucaria_angustifolia",-49.797428,-28.342122,1
"407","Araucaria_angustifolia",-49.797825,-28.342747,1
"408","Araucaria_angustifolia",-49.797158,-28.343086,1
"409","Araucaria_angustifolia",-49.797814,-28.3434,1
"410","Araucaria_angustifolia",-49.798164,-28.343883,1
"411","Araucaria_angustifolia",-49.798922,-28.344003,1
"412","Araucaria_angustifolia",-49.799567,-28.344172,1
"413","Araucaria_angustifolia",-49.799967,-28.344725,1
"414","Araucaria_angustifolia",-49.800394,-28.345733,1
